ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;315;1142;0;1
1;315;1142;1;1
2;902;1558;2;1
3;516;904;3;1
4;516;904;4;1
5;848;274;5;1
6;848;274;6;1
7;588;1104;7;1
8;762;506;8;1
9;696;1847;9;1
10;457;947;10;1
11;399;577;11;1
12;399;577;12;1
13;670;2125;13;1
14;625;1455;14;1
15;599;2155;15;1
16;599;2155;16;1
17;599;2155;17;1
18;599;2155;18;1
19;650;580;19;1
20;310;557;20;1
21;580;947;21;1
22;580;937;22;1
23;440;717;23;1
24;695;1207;24;1
25;490;327;25;1
26;695;277;26;1
27;899;1277;27;1
28;899;1277;28;1
29;457;947;29;1
30;526;807;30;1
31;526;807;31;1
32;526;807;32;1
33;495;1187;33;1
34;495;1097;34;1
35;495;1097;35;1
36;495;1187;36;1
37;322;392;37;1
38;352;502;38;1
39;743;1075;39;1
40;359;804;40;1
41;544;1604;41;1
42;544;1604;42;1
43;544;1604;43;1
44;704;1431;44;1
45;449;968;45;1
46;324;1567;46;1
47;324;1567;47;1
48;324;1567;48;1
49;324;1567;49;1
50;464;1400;50;1
51;502;824;51;1
52;302;527;52;1
53;559;827;53;1
54;559;827;54;1
55;561;827;55;1
56;561;827;56;1
57;539;797;57;1
58;539;797;58;1
59;359;804;59;1
60;595;1122;60;1
61;831;862;61;1
62;277;1675;62;1
63;523;1675;63;1
64;1004;1303;64;1
65;1004;1303;65;1
66;740;445;66;1
67;592;1315;67;1
